When,X,Y,Type
1112724006856464,1023.0,315.0,DOWN
1112724008147221,1000.0,318.0,MOVE
1112724014544253,981.0,324.0,MOVE
1112724022087753,955.0,338.0,MOVE
1112724030053858,946.0,344.0,MOVE
1112724039336679,933.0,357.0,MOVE
1112724045224170,926.0,366.0,MOVE
1112724054135703,914.0,378.0,MOVE
1112724061129816,902.0,395.0,MOVE
1112724069265566,895.0,407.0,MOVE
1112724077054781,887.0,420.0,MOVE
1112724085218906,880.0,435.0,MOVE
1112724093086604,875.0,450.0,MOVE
1112724101247711,871.0,465.0,MOVE
1112724109163103,869.0,477.0,MOVE
1112724118263600,868.0,491.0,MOVE
1112724125144213,868.0,500.0,MOVE
1112724132328499,869.0,509.0,MOVE
1112724140138240,873.0,518.0,MOVE
1112724148738252,878.0,526.0,MOVE
1112724156101239,885.0,531.0,MOVE
1112724165304369,892.0,533.0,MOVE
1112724172377569,901.0,534.0,MOVE
1112724180489171,913.0,533.0,MOVE
1112724188539797,925.0,532.0,MOVE
1112724197151883,949.0,525.0,MOVE
1112724204257081,969.0,516.0,MOVE
1112724211422047,986.0,508.0,MOVE
1112724219146663,1006.0,496.0,MOVE
1112724227123635,1028.0,481.0,MOVE
1112724235458010,1046.0,472.0,MOVE
1112724243175381,1069.0,456.0,MOVE
1112724251276116,1088.0,445.0,MOVE
1112724259130532,1112.0,430.0,MOVE
1112724267068262,1134.0,418.0,MOVE
1112724277180596,1161.0,407.0,MOVE
1112724283721918,1173.0,402.0,MOVE
1112724290267466,1187.0,396.0,MOVE
1112724298605463,1204.0,390.0,MOVE
1112724306228051,1222.0,386.0,MOVE
1112724314361386,1238.0,384.0,MOVE
1112724321965862,1251.0,381.0,MOVE
1112724330267032,1264.0,380.0,MOVE
1112724338113599,1278.0,379.0,MOVE
1112724346006654,1289.0,379.0,MOVE
1112724356274145,1304.0,380.0,MOVE
1112724362190615,1316.0,383.0,MOVE
1112724369239667,1324.0,385.0,MOVE
1112724377135740,1332.0,388.0,MOVE
1112724385078903,1340.0,393.0,MOVE
1112724393017840,1345.0,402.0,MOVE
1112724401226037,1349.0,411.0,MOVE
1112724409164371,1350.0,421.0,MOVE
1112724417237334,1350.0,433.0,MOVE
1112724425066394,1348.0,447.0,MOVE
1112724434146968,1343.0,464.0,MOVE
1112724441084332,1337.0,473.0,MOVE
1112724449523754,1331.0,485.0,MOVE
1112724456135711,1322.0,499.0,MOVE
1112724464071026,1311.0,512.0,MOVE
1112724472230322,1301.0,524.0,MOVE
1112724480174692,1286.0,538.0,MOVE
