When,X,Y,Typestate,predX,predY
1112724006856464,1023,315,DOWN,1023,315
1112724008147221,1000,318,MOVE,1000,318
1112724014544253,981,324,MOVE,981,324
1112724022087753,955,338,MOVE,955,391.967
1112724030053858,946,344,MOVE,923.896,387.767
1112724039336679,933,357,MOVE,901.373,396.978
1112724045224170,926,366,MOVE,891.686,406.121
1112724054135703,914,378,MOVE,878.028,418.968
1112724061129816,902,395,MOVE,865.709,435.513
1112724069265566,895,407,MOVE,857.154,454.038
1112724077054781,887,420,MOVE,851.067,468.963
1112724085218906,880,435,MOVE,845.881,485.288
1112724093086604,875,450,MOVE,844.23,502.391
1112724101247711,871,465,MOVE,844.693,519.545
1112724109163103,869,477,MOVE,847.402,532.962
1112724118263600,868,491,MOVE,853.065,546.597
1112724125144213,868,500,MOVE,858.221,554.416
1112724132328499,869,509,MOVE,863.938,559.79
1112724140138240,873,518,MOVE,875.051,564.394
1112724148738252,878,526,MOVE,888.627,568.18
1112724156101239,885,531,MOVE,902.232,568.162
1112724165304369,892,533,MOVE,917.616,561.544
1112724172377569,901,534,MOVE,929.543,553.648
1112724180489171,913,533,MOVE,944.703,543.94
1112724188539797,925,532,MOVE,960.563,536.494
1112724197151883,949,525,MOVE,987.54,522.396
1112724204257081,969,516,MOVE,1013.23,505.141
1112724211422047,986,508,MOVE,1036,488.568
1112724219146663,1006,496,MOVE,1059.17,469.915
1112724227123635,1028,481,MOVE,1084.21,447.535
1112724235458010,1046,472,MOVE,1108.26,431.785
1112724243175381,1069,456,MOVE,1131.6,414.998
1112724251276116,1088,445,MOVE,1154.17,399.272
1112724259130532,1112,430,MOVE,1178.47,384.261
1112724267068262,1134,418,MOVE,1203.41,370.358
1112724277180596,1161,407,MOVE,1236.57,359.733
1112724283721918,1173,402,MOVE,1251.77,357.353
1112724290267466,1187,396,MOVE,1260.93,356.377
1112724298605463,1204,390,MOVE,1272.99,355.212
1112724306228051,1222,386,MOVE,1287.91,356.387
1112724314361386,1238,384,MOVE,1303.75,360.928
1112724321965862,1251,381,MOVE,1315.19,362.644
1112724330267032,1264,380,MOVE,1325.26,364.978
1112724338113599,1278,379,MOVE,1335.91,368.692
1112724346006654,1289,379,MOVE,1345.13,372.284
1112724356274145,1304,380,MOVE,1358.35,377.406
1112724362190615,1316,383,MOVE,1367.37,383.82
1112724369239667,1324,385,MOVE,1374.08,391.039
1112724377135740,1332,388,MOVE,1378.35,397.381
1112724385078903,1340,393,MOVE,1381.7,406.363
1112724393017840,1345,402,MOVE,1380.92,421.711
1112724401226037,1349,411,MOVE,1377.7,438.12
1112724409164371,1350,421,MOVE,1371.55,453.116
1112724417237334,1350,433,MOVE,1362.79,468.671
1112724425066394,1348,447,MOVE,1354.06,485.429
1112724434146968,1343,464,MOVE,1340.23,507.108
1112724441084332,1337,473,MOVE,1326.39,518.965
1112724449523754,1331,485,MOVE,1312.56,529.953
1112724456135711,1322,499,MOVE,1301.13,541.863
1112724464071026,1311,512,MOVE,1284.17,555.852
1112724472230322,1301,524,MOVE,1268.08,568.989
1112724480174692,1286,538,MOVE,1249.39,582.478
1112724488186076,1272,551,MOVE,1229.77,596.427
1112724496008495,1260,562,MOVE,1213.96,608.476
1112724504265594,1242,576,MOVE,1194.1,621.515
1112724513046118,1221,591,MOVE,1167.95,637.559
1112724520321566,1213,596,MOVE,1153.94,644.05
1112724528063690,1197,606,MOVE,1140.83,648.573
1112724535218996,1182,614,MOVE,1126.72,653.72
1112724543127748,1168,620,MOVE,1111.65,656.388
1112724551139735,1149,629,MOVE,1093.43,661.98
1112724558941628,1136,634,MOVE,1077.88,666.387
1112724567486701,1122,640,MOVE,1064.12,669.729
1112724575108081,1109,642,MOVE,1051.9,667.964
1112724583553540,1095,645,MOVE,1038.7,664.472
1112724593339865,1080,646,MOVE,1023.28,660.761
1112724599215282,1067,648,MOVE,1012.97,659.299
1112724606916353,1056,648,MOVE,1002.48,656.727
1112724614094602,1041,647,MOVE,990.559,651.664
1112724622290120,1026,645,MOVE,974.984,645.022
1112724630270110,1010,644,MOVE,958.177,641.106
1112724638166787,990,639,MOVE,937.593,632.992
1112724646100895,977,635,MOVE,920.827,622.883
1112724654095978,960,630,MOVE,904.461,614.467
1112724662166527,944,625,MOVE,887.448,606.959
1112724671997527,923,617,MOVE,864.153,595.142
1112724678399389,910,612,MOVE,850.363,587.841
1112724685932022,898,609,MOVE,838.66,585.592
1112724693024542,877,600,MOVE,822.656,578.105
1112724701200137,857,593,MOVE,799.988,567.676
1112724709200050,839,587,MOVE,778.361,560.729
1112724717706486,820,579,MOVE,757.422,551.486
1112724725108715,804,575,MOVE,740.448,547.185
1112724733384528,784,567,MOVE,720.96,540.717
1112724741069903,759,558,MOVE,696.967,530.324
1112724751612087,732,549,MOVE,661.075,517.482
1112724756866878,716,544,MOVE,644.581,512.903
1112724764846265,696,538,MOVE,624.666,508.809
1112724772017872,678,534,MOVE,607.61,507.147
1112724780127662,652,529,MOVE,583.253,505.861
1112724787917481,627,525,MOVE,556.293,503.931
1112724795966899,602,523,MOVE,528.144,505.134
1112724803943870,586,524,MOVE,508.272,512.69
1112724812097129,561,524,MOVE,486.916,518.697
1112724820060818,531,529,MOVE,458.139,529.402
1112724829166749,498,534,MOVE,420.035,543.66
1112724836256854,479,538,MOVE,396.257,552.217
1112724844035805,457,545,MOVE,376.566,564.194
1112724852171555,425,557,MOVE,348.778,582.156
1112724858898824,405,566,MOVE,327.237,596.976
1112724867646144,387,572,MOVE,308.004,606.479
1112724874775491,364,583,MOVE,290.386,616.53
1112724883287360,347,595,MOVE,274.122,633.932
1112724890744527,330,606,MOVE,261.269,648.427
1112724898775833,316,615,MOVE,249.167,658.743
1112724909088603,297,634,MOVE,233.917,681.344
1112724915021374,291,640,MOVE,229.554,691.581
1112724923149276,285,647,MOVE,231.415,696.503
1112724931019389,275,662,MOVE,230.893,707.651
1112724938119757,269,676,MOVE,230.221,722.539
1112724946164950,265,687,MOVE,232.44,736.92
1112724953987368,263,699,MOVE,237.687,749.29
1112724962034976,262,709,MOVE,244.485,759.367
1112724970043341,262,720,MOVE,251.302,768.423
1112724978203240,264,734,MOVE,259.431,780.679
1112724987866406,270,752,MOVE,274.777,800.52
1112724994036439,276,761,MOVE,287.789,810.204
1112725001854028,283,770,MOVE,303.411,816.097
1112725009777872,294,779,MOVE,320.636,820.658
1112725017340691,306,787,MOVE,338.595,824.64
1112725024793029,322,793,MOVE,359.734,826.2
1112725033042279,343,799,MOVE,387.767,827.215
1112725044675991,360,801,MOVE,418.846,824.438
1112725051127963,377,802,MOVE,435.966,818.984
1112725057559407,403,801,MOVE,459.029,811.543
1112725067386181,450,792,MOVE,514.437,790.05
1112725073204849,468,784,MOVE,541.958,772.212
1112725080806910,492,774,MOVE,567.063,750.053
1112725089420807,521,761,MOVE,597.578,728.648
1112725095832933,547,745,MOVE,621.574,708.317
1112725104069505,571,729,MOVE,647.947,682.997
1112725112284343,599,709,MOVE,675.786,657.217
1112725120307801,625,690,MOVE,703.512,632.693
1112725128155576,652,667,MOVE,730.437,606.09
1112725136274422,681,644,MOVE,760.426,578.393
1112725146084292,718,613,MOVE,802.491,541.098
1112725153257711,744,590,MOVE,831.333,513.939
1112725159951774,774,567,MOVE,859.256,491.743
1112725168682794,807,540,MOVE,895.624,463.075
1112725175106994,841,513,MOVE,926.451,438.241
1112725183368319,875,487,MOVE,965.305,408.814
1112725191147269,911,463,MOVE,1003.81,384.445
1112725199041531,947,438,MOVE,1042.66,360.054
1112725207069216,984,416,MOVE,1082.31,338.043
1112725215043772,1023,393,MOVE,1123.14,317.123
1112725224053108,1070,368,MOVE,1173.79,292.159
1112725231140798,1103,351,MOVE,1210.48,275.874
1112725239054379,1142,332,MOVE,1248.83,260.495
1112725247051877,1184,315,MOVE,1290.71,246.844
1112725253874533,1222,300,MOVE,1327.66,236.328
1112725262110501,1261,289,MOVE,1369.6,229.733
1112725270249874,1299,278,MOVE,1408.92,224.974
1112725278109120,1335,272,MOVE,1445.06,225.166
1112725286287131,1369,266,MOVE,1479.02,227.658
1112725294079364,1400,264,MOVE,1508.13,233.268
1112725303996092,1437,261,MOVE,1544.44,239.721
1112725310455308,1453,262,MOVE,1560.29,246.385
1112725321092277,1472,264,MOVE,1570.03,261.005
1112725327422296,1492,266,MOVE,1578.96,267.798
1112725334206918,1517,271,MOVE,1594.92,277.265
1112725341562660,1534,275,MOVE,1610.67,287.31
1112725349369986,1553,284,MOVE,1624.96,302.802
1112725357059586,1568,293,MOVE,1636.31,319.888
1112725365294951,1580,304,MOVE,1643.33,338.342
1112725373067864,1591,315,MOVE,1647.92,354.717
1112725383051606,1600,334,MOVE,1649.35,381.343
1112725389726955,1605,343,MOVE,1648,395.703
1112725397463041,1607,355,MOVE,1640.65,408.184
1112725405008352,1607,374,MOVE,1628.22,425.822
1112725413169459,1605,391,MOVE,1615.43,446.063
1112725420624211,1598,413,MOVE,1597.73,467.714
1112725428216009,1589,430,MOVE,1576.52,487.57
1112725436184528,1578,454,MOVE,1555.71,511.892
1112725444192893,1564,470,MOVE,1532.37,531.802
1112725452598507,1547,493,MOVE,1506.32,553.807
1112725461835446,1525,520,MOVE,1475.94,585.148
1112725469036635,1508,539,MOVE,1452.77,607.304
1112725476768496,1489,562,MOVE,1430.65,630.587
1112725484419458,1466,587,MOVE,1405.85,656.009
1112725491879040,1443,613,MOVE,1379.77,683.151
1112725499348886,1420,644,MOVE,1355.03,716.255
1112725507091614,1399,671,MOVE,1331.49,749.207
1112725515196574,1379,699,MOVE,1309.79,780.913
1112725522860818,1364,725,MOVE,1295.86,809.831
1112725530786474,1352,748,MOVE,1288.16,835.278
1112725540799194,1342,774,MOVE,1284.94,863.41
1112725547877828,1337,787,MOVE,1286.66,876.241
1112725555055473,1334,799,MOVE,1293.06,881.972
1112725562856158,1335,806,MOVE,1308.38,881.713
1112725570909198,1338,812,MOVE,1329.78,875.443
1112725578814327,1343,817,MOVE,1348.91,867.066
1112725586007668,1348,821,MOVE,1362.46,860.254
1112725593836124,1359,824,MOVE,1379.62,852.594
